Date,Cryptocurrency,CoinDeskTweets,Open,High,Low,Closing Price (in $)
2024-01-01,Bitcoin,Bitcoin adoption grows in major financial institutions,35000.00,35500.00,34500.00,35200.00
2024-01-02,Bitcoin,Positive regulatory developments boost Bitcoin market,35250.00,35700.00,34800.00,35550.00
2024-01-03,Bitcoin,New breakthrough in Bitcoin technology announced,35600.00,36200.00,35200.00,36000.00
2024-01-04,Bitcoin,Bitcoin sees increased interest from institutional investors, 36050.00,36500.00,35500.00,36350.00
2024-01-05,Bitcoin,Bitcoin adoption grows in major financial institutions,36200.00,36700.00,35700.00,36500.00
2024-01-06,Bitcoin,Positive regulatory developments boost Bitcoin market,36550.00,37000.00,36000.00,36800.00
2024-01-07,Bitcoin,New breakthrough in Bitcoin technology announced,36800.00,37200.00,36300.00,37050.00
2024-01-08,Bitcoin,Bitcoin sees increased interest from institutional investors, 37050.00,37500.00,36600.00,37250.00
2024-01-09,Bitcoin,Bitcoin adoption grows in major financial institutions,37300.00,37800.00,36900.00,37600.00
2024-01-10,Bitcoin,Positive regulatory developments boost Bitcoin market,37650.00,38100.00,37200.00,37900.00
2024-01-11,Bitcoin,Bitcoin faces regulatory scrutiny price drops,38000.00,38200.00,37500.00,37700.00
2024-01-12,Bitcoin,Market uncertainty impacts Bitcoin negatively,37750.00,37900.00,37100.00,37300.00
2024-01-13,Bitcoin,Security breach shakes confidence in Bitcoin,37300.00,37500.00,36600.00,36900.00
2024-01-14,Bitcoin,Bitcoin transaction fees skyrocket users frustrated,36950.00,37100.00,36300.00,36500.00
2024-01-15,Bitcoin,Bitcoin faces regulatory scrutiny price drops,36550.00,36700.00,35900.00,36100.00
2024-01-16,Bitcoin,Market uncertainty impacts Bitcoin negatively,36100.00,36300.00,35500.00,35900.00
2024-01-17,Bitcoin,Security breach shakes confidence in Bitcoin,35950.00,36100.00,35300.00,35500.00
2024-01-18,Bitcoin,Bitcoin transaction fees skyrocket users frustrated,35500.00,35700.00,34900.00,35100.00
2024-01-19,Bitcoin,Bitcoin faces regulatory scrutiny price drops,35100.00,35300.00,34500.00,34700.00
2024-01-20,Bitcoin,Market uncertainty impacts Bitcoin negatively,34700.00,34900.00,34100.00,34300.00
2024-01-21,Bitcoin,Bitcoin price stabilizes amidst market consolidation,34500.00,34700.00,34200.00,34550.00
2024-01-22,Bitcoin,Bitcoin trading volume remains steady,34550.00,34800.00,34300.00,34650.00
2024-01-23,Bitcoin,Minor fluctuations observed in Bitcoin price,34650.00,34900.00,34400.00,34700.00
2024-01-24,Bitcoin,Bitcoin market experiences calm trading,34700.00,35000.00,34500.00,34800.00
2024-01-25,Bitcoin,Bitcoin price remains relatively stable,34800.00,35100.00,34600.00,34950.00
2024-01-26,Bitcoin,Bitcoin trading volume remains steady,34950.00,35200.00,34700.00,35050.00
2024-01-27,Bitcoin,Minor fluctuations observed in Bitcoin price,35050.00,35300.00,34800.00,35150.00
